Settore Merceologico;Insegna;Ubicazione;Tipo via;Via;Civico;Codice via;ZD;Settore Storico Cf Preval;Superficie Vendita;Superficie Altri Usi;Superficie Tabelle Speciali;Superficie Totale
alimentare;;"VLE MONTE NERO N. 28 ; isolato:134; accesso: accesso esterno; (z.d. 4)";VLE;MONTE NERO;28;3062;4;bar;21;1;;22
alimentare;;"VLE MONTE NERO N. 28 ; isolato:134; accesso: accesso esterno; (z.d. 4)";VLE;MONTE NERO;28;3062;4;vini - olii e liquori in recip;38;11;;49
alimentare;;"VLE MONTE NERO N. 58 ; isolato:069; accesso: accesso esterno; (z.d. 4)";VLE;MONTE NERO;58;3062;4;panetteria;27;33;;60
alimentare;;"VLE MONTE NERO N. 66 ; isolato:055; accesso: accesso esterno; (z.d. 4)";VLE;MONTE NERO;66;3062;4;pasticceria;30;100;;130
alimentare;;"VLE MONTE NERO N. 73 ; isolato:042; (z.d. 1)";VLE;MONTE NERO;73;3062;1;dolciumi;27;10;;37
alimentare;;"VLE MONTE NERO N. 76 ; isolato:043; (z.d. 4)";VLE;MONTE NERO;76;3062;4;vini - olii e liquori in recip;18;;;18
alimentare;;"VLE MONZA N. 114 ; isolato:258; accesso: accesso esterno; (z.d. 2)";VLE;MONZA;114;2274;2;latteria;43;;;43
alimentare;;"VLE MONZA N. 114 ; isolato:258; accesso: accesso esterno; (z.d. 2)";VLE;MONZA;114;2274;2;macelleria;42;;;42
alimentare;;"VLE MONZA N. 114 ; isolato:258; (z.d. 2)";VLE;MONZA;114;2274;2;rosticceria;30;26;;56
alimentare;;VLE MONZA N. 114 (z.d. 2);VLE;MONZA;114;2274;2;frutta e verdura;27;;;27
alimentare;;"VLE MONZA N. 116 ; isolato:258; (z.d. 2)";VLE;MONZA;116;2274;2;bibite e bevande analcoliche;21;37;;58
alimentare;;"VLE MONZA N. 147 ; isolato:176; accesso: accesso esterno; (z.d. 2)";VLE;MONZA;147;2274;2;macelleria;40;10;20;30
alimentare;;VLE MONZA N. 154 (z.d. 2);VLE;MONZA;154;2274;2;pizza bibite prodotti preconfezionati;17;12;;29
alimentare;;"VLE MONZA N. 170 ; isolato:104; accesso: accesso esterno; (z.d. 2)";VLE;MONZA;170;2274;2;bar;25;41;;66
alimentare;;VLE MONZA N. 173 (z.d. 2);VLE;MONZA;173;2274;2;prodotti caseari (mozzarelle);18;25;;43
alimentare;;"VLE MONZA N. 208 ; isolato:101; accesso: accesso esterno; (z.d. 2)";VLE;MONZA;208;2274;2;latteria;20;10;;30
alimentare;;"VLE MONZA N. 210 ; isolato:101; accesso: accesso esterno; (z.d. 2)";VLE;MONZA;210;2274;2;frutta, verdura e funghi;30;30;;60
alimentare;;"VLE MONZA N. 23 ; isolato:346; accesso: accesso esterno; (z.d. 2)";VLE;MONZA;23;2274;2;macelleria;35;60;;95
alimentare;;VLE MONZA N. 243 (z.d. 2);VLE;MONZA;243;2274;2;bevande;5;;;14
alimentare;;"VLE MONZA N. 24 ; isolato:352; accesso: accesso esterno; (z.d. 2)";VLE;MONZA;24;2274;2;formaggi e fattorie;40;;;40
alimentare;;"VLE MONZA N. 28 ; isolato:347; accesso: accesso esterno; (z.d. 2)";VLE;MONZA;28;2274;2;alimentari internazionali;60;;;60
alimentare;;VLE MONZA N. 311 (z.d. 2);VLE;MONZA;311;2274;2;bibite;2;;;56
alimentare;;"VLE MONZA N. 44 ; isolato:332; accesso: accesso esterno; (z.d. 2)";VLE;MONZA;44;2274;2;rosticceria;35;25;;60
alimentare;;"VLE MONZA N. 50 ; isolato:332; accesso: accesso esterno; (z.d. 2)";VLE;MONZA;50;2274;2;macelleria islamica;50;;;50
alimentare;;"VLE MONZA N. 54 interno merc.comunale coperto; isolato:324; accesso: accesso interno; (z.d. 2)";VLE;MONZA;54;2274;2;vini - olii e liquori in recip;17;11;;28
alimentare;;"VLE MONZA N. 54 interno merc. comun. coperto; isolato:324; accesso: accesso esterno; (z.d. 2)";VLE;MONZA;54;2274;2;frutta, verdura e funghi;34;;;34
alimentare;;"VLE MONZA N. 54 interno merc. comun. coperto; isolato:324; accesso: accesso esterno; (z.d. 2)";VLE;MONZA;54;2274;2;macelleria;16;7;;23
alimentare;;"VLE MONZA N. 54 interno merc. comun. coperto; isolato:324; accesso: accesso esterno; (z.d. 2)";VLE;MONZA;54;2274;2;macelleria;21;;;21
alimentare;;"VLE MONZA N. 54 interno merc. comun. coperto; isolato:324; accesso: accesso esterno; (z.d. 2)";VLE;MONZA;54;2274;2;macelleria islamica;24;27;;51
alimentare;;"VLE MONZA N. 54 interno merc. comun. coperto; isolato:324; accesso: accesso esterno; (z.d. 2)";VLE;MONZA;54;2274;2;panetteria;32;;;32
alimentare;;"VLE MONZA N. 54 interno merc. comun. coperto; isolato:324; accesso: accesso esterno; (z.d. 2)";VLE;MONZA;54;2274;2;salumeria - rosticceria - cibi;49;;;49
alimentare;;"VLE MONZA N. 54 interno merc. comun. coperto; isolato:324; accesso: accesso interno; (z.d. 2)";VLE;MONZA;54;2274;2;latteria;11;22;;33
alimentare;;"VLE MONZA N. 54 interno merc. comun. coperto; isolato:324; accesso: accesso interno; (z.d. 2)";VLE;MONZA;54;2274;2;macelleria equine;15;14;;29
alimentare;;"VLE MONZA N. 54 interno merc. comun. coperto; isolato:324; accesso: accesso interno; (z.d. 2)";VLE;MONZA;54;2274;2;polleria;49;;;49
alimentare;;"VLE MONZA N. 54 int. mercato comunale coperto; isolato:324; accesso: accesso interno; (z.d. 2)";VLE;MONZA;54;2274;2;frutta, verdura e funghi;27;5;;32
alimentare;;"VLE MONZA N. 54 mercato comunale coperto; isolato:324; accesso: accesso esterno; (z.d. 2)";VLE;MONZA;54;2274;2;salumeria;20;;;20
alimentare;;"VLE MONZA N. 56 ; isolato:324; (z.d. 2)";VLE;MONZA;56;2274;2;bibite e bevande analcoliche;16;3;;19
alimentare;;"VLE MONZA N. 78 ; isolato:312; accesso: accesso esterno; (z.d. 2)";VLE;MONZA;78;2274;2;salumeria - rosticceria - cibi;16;40;;56
alimentare;;"VLE MONZA N. 82 ; isolato:310; accesso: accesso esterno; (z.d. 2)";VLE;MONZA;82;2274;2;panificio (con forno);35;;;110
alimentare;;"VLE MONZA N. 91 ; isolato:306; accesso: accesso esterno; (z.d. 2)";VLE;MONZA;91;2274;2;pasticceria - gelateria;35;;;108
alimentare;;"VLE MUGELLO N. 7 ; isolato:263; (z.d. 4)";VLE;MUGELLO;7;3140;4;bibite e bevande analcoliche;25;35;;60
alimentare;;"VLE MURILLO S.B. N. 11 ; isolato:255; accesso: accesso esterno; (z.d. 7)";VLE;MURILLO S.B.;11;6551;7;bibite e bevande analcoliche;20;15;;35
alimentare;;"VLE ORIONE DON LUIGI N. 14 ; isolato:265; accesso: accesso esterno; (z.d. 2)";VLE;ORIONE DON LUIGI;14;2378;2;panificio (con forno);30;82;;112
alimentare;;"VLE ORIONE DON LUIGI N. 14 ; isolato:265; accesso: accesso esterno; (z.d. 2)";VLE;ORIONE DON LUIGI;14;2378;2;salumeria - rosticceria - cibi;25;15;;40
alimentare;;"VLE ORTLES N. 17 ; isolato:044; accesso: accesso esterno; (z.d. 5)";VLE;ORTLES;17;4133;5;caffe crudo e torrefatto;23;;;23
alimentare;;VLE PAPA ACHILLE N. 30 (z.d. 8);VLE;PAPA ACHILLE;30;6469;8;alimenti confezionati;100;;;100
alimentare;;VLE PAPA ACHILLE N. 30 (z.d. 8);VLE;PAPA ACHILLE;30;6469;8;pasticceria;6;;;131
alimentare;;"VLE PAPINIANO N. 41 ; isolato:061; accesso: accesso esterno; (z.d. 1)";VLE;PAPINIANO;41;5097;1;panetteria;41;;;41
alimentare;;VLE PASUBIO N. 12 (z.d. 9);VLE;PASUBIO;12;1112;9;bibite birre gelati dolci;22;;;22
alimentare;;"VLE PASUBIO N. 6 ; isolato:317; (z.d. 9)";VLE;PASUBIO;6;1112;9;bibite e bevande analcoliche;12;;;40
alimentare;;"VLE PIAVE N. 5 ; isolato:164; accesso: accesso esterno; (z.d. 1)";VLE;PIAVE;5;2179;1;panetteria;18;9;;27
alimentare;;"VLE PICENO N. 60 spaccio interno; isolato:209; accesso: accesso interno; (z.d. 4)";VLE;PICENO;60;3114;4;spaccio aziendale alimentare;40;;;40
alimentare;;"VLE PIRELLI PIERO E ALBERTO N. 14 ; accesso: accesso esterno; (z.d. 9)";VLE;PIRELLI PIERO E ALBERTO;14;1727;9;panetteria;38;207;;245
alimentare;;"VLE PISA N. 18 ; isolato:207; accesso: accesso esterno; (z.d. 7)";VLE;PISA;18;6615;7;panetteria;16;;;27
alimentare;;"VLE PISA N. 37 ; isolato:015; accesso: accesso esterno; (z.d. 7)";VLE;PISA;37;6615;7;vini - olii e liquori in recip;60;80;;140
alimentare;;"VLE RANZONI DANIELE N. 21 ; isolato:002; accesso: accesso esterno; (z.d. 7)";VLE;RANZONI DANIELE;21;6297;7;in attesa di revoca;60;16;;76
alimentare;;"VLE RANZONI DANIELE N. 5 ; isolato:002; accesso: accesso esterno; (z.d. 7)";VLE;RANZONI DANIELE;5;6297;7;alimentari internazionali;33;;;91
alimentare;;"VLE ROMAGNA N. 25 ; isolato:156; accesso: accesso esterno; (z.d. 3)";VLE;ROMAGNA;25;3102;3;panificio (con forno);20;;;20
alimentare;;"VLE ROMAGNA N. 58 ; isolato:120; accesso: accesso esterno; (z.d. 3)";VLE;ROMAGNA;58;3102;3;salumeria - rosticceria - cibi;28;20;;48
alimentare;;"VLE ROMAGNA N. 59 ; isolato:110; accesso: accesso esterno; (z.d. 3)";VLE;ROMAGNA;59;3102;3;panetteria;36;;;73
alimentare;;"VLE ROMAGNA N. 59 ; isolato:110; accesso: accesso esterno; (z.d. 3)";VLE;ROMAGNA;59;3102;3;salumeria - rosticceria - cibi;30;40;;70
alimentare;;VLE ROMOLO N. 1 (z.d. 6);VLE;ROMOLO;1;5284;6;bibite;45;;;45
alimentare;;VLE SABOTINO N. 19 (z.d. 5);VLE;SABOTINO;19;4046;5;vendita alimenti e bevande;13;516;;529
alimentare;;"VLE SABOTINO N. 38 ; isolato:191; accesso: accesso esterno; (z.d. 5)";VLE;SABOTINO;38;4046;5;macelleria;22;22;;44
alimentare;;"VLE SAN GIMIGNANO N. 10 ; isolato:072; accesso: accesso esterno; (z.d. 6)";VLE;SAN GIMIGNANO;10;6613;6;latteria;20;10;;30
alimentare;;"VLE SAN MICHELE DEL CARSO N. 1 ; isolato:237; accesso: accesso esterno; (z.d. 1)";VLE;SAN MICHELE DEL CARSO;1;6212;1;panificio (con forno);57;49;;106
alimentare;;"VLE SAN MICHELE DEL CARSO N. 20 ; isolato:260; accesso: accesso esterno; (z.d. 7)";VLE;SAN MICHELE DEL CARSO;20;6212;7;in attesa di revoca;85;30;;115
alimentare;;"VLE SARCA N. 163 ; isolato:050; accesso: accesso esterno; (z.d. 9)";VLE;SARCA;163;1427;9;macelleria;16;6;;22
alimentare;;"VLE SARCA N. 187 ; isolato:048; accesso: accesso esterno; (z.d. 9)";VLE;SARCA;187;1427;9;salumeria - rosticceria - cibi;28;;;28
alimentare;;"VLE SARCA N. 198 ; isolato:051; accesso: accesso esterno; (z.d. 9)";VLE;SARCA;198;1427;9;panineria - focacceria;25;10;;35
alimentare;;"VLE SARCA N. 73 ; isolato:154; (z.d. 9)";VLE;SARCA;73;1427;9;paste alimentari;14;;;14
alimentare;;"VLE SARCA N. 91 ; isolato:150; accesso: accesso esterno; (z.d. 9)";VLE;SARCA;91;1427;9;bibite e bevande analcoliche;50;30;;80
alimentare;;"VLE SARCA N. 91 ; isolato:150; (z.d. 9)";VLE;SARCA;91;1427;9;surgelati;18;;;18
alimentare;;"VLE SAURO NAZARIO N. 9 ; isolato:229; accesso: accesso esterno; (z.d. 2)";VLE;SAURO NAZARIO;9;1175;2;panificio (con forno);45;85;;130
alimentare;;"VLE SERRA RENATO N. 57 ; isolato:323; accesso: accesso esterno; (z.d. 8)";VLE;SERRA RENATO;57;6426;8;panificio (con forno);35;35;;70
alimentare;;"VLE STEFINI EVARISTO N. 14 ; isolato:123; accesso: accesso esterno; (z.d. 2)";VLE;STEFINI EVARISTO;14;1405;2;piccolo zoo;75;75;;150
alimentare;;"VLE STELVIO N. 39 ; isolato:212; accesso: accesso esterno; (z.d. 9)";VLE;STELVIO;39;1227;9;panificio (con forno);25;17;;42
alimentare;;"VLE STELVIO N. 44 ; isolato:161; accesso: accesso esterno; (z.d. 9)";VLE;STELVIO;44;1227;9;minimercati;18;3;;21
alimentare;;"VLE STELVIO N. 65 presso get fit centro sportivo; isolato:104; (z.d. 9)";VLE;STELVIO;65;1227;9;macelleria;35;;;170
alimentare;;"VLE STURZO DON LUIGI interno staz. garibaldi num.000;ingresso via 9403 num.000; isolato:259; accesso: accesso interno; (z.d. 9)";VLE;STURZO DON LUIGI;;1704;9;in attesa di revoca;42;;;42
alimentare;;"VLE SUZZANI GIOVANNI N. 12 ; isolato:142; accesso: accesso esterno; (z.d. 9)";VLE;SUZZANI GIOVANNI;12;1446;9;panificio (con forno);31;12;;43
alimentare;;"VLE SUZZANI GIOVANNI N. 12 ; isolato:142; (z.d. 9)";VLE;SUZZANI GIOVANNI;12;1446;9;bibite e bevande analcoliche;7;32;;37
alimentare;;VLE SUZZANI GIOVANNI N. 12 (z.d. 9);VLE;SUZZANI GIOVANNI;12;1446;9;bibite;1;;;18
alimentare;;VLE SUZZANI GIOVANNI N. 12 (z.d. 9);VLE;SUZZANI GIOVANNI;12;1446;9;minimarket;25;;;36
alimentare;;"VLE SUZZANI GIOVANNI N. 155 ; isolato:089; accesso: accesso esterno; (z.d. 9)";VLE;SUZZANI GIOVANNI;155;1446;9;macelleria;74;;;165
alimentare;;"VLE SUZZANI GIOVANNI N. 155 ; isolato:089; accesso: accesso esterno; (z.d. 9)";VLE;SUZZANI GIOVANNI;155;1446;9;panificio (con forno);45;6;;51
alimentare;;"VLE SUZZANI GIOVANNI N. 270 ; isolato:031; accesso: accesso esterno; (z.d. 9)";VLE;SUZZANI GIOVANNI;270;1446;9;latteria;90;10;45;55
alimentare;;"VLE TEODORICO num.019/2; isolato:191; accesso: accesso esterno; (z.d. 8)";VIA;QUADRIO MAURIZIO;25;1115;8;pasticceria - gelateria;76;10;;86
alimentare;;"VLE TESTI FULVIO N. 177 ; isolato:091; accesso: accesso esterno; (z.d. 9)";VLE;TESTI FULVIO;177;1441;9;latteria;26;60;;86
alimentare;;"VLE TESTI FULVIO N. 184 ; isolato:097; accesso: accesso esterno; (z.d. 9)";VLE;TESTI FULVIO;184;1441;9;salumeria - rosticceria - cibi;50;;;50
alimentare;;"VLE TESTI FULVIO N. 186 ; isolato:097; accesso: accesso esterno; (z.d. 9)";VLE;TESTI FULVIO;186;1441;9;macelleria;32;12;;44
alimentare;;"VLE TESTI FULVIO N. 186 ; isolato:097; accesso: accesso esterno; (z.d. 9)";VLE;TESTI FULVIO;186;1441;9;panetteria;45;;;62
alimentare;;"VLE TESTI FULVIO N. 219 ; isolato:036; accesso: accesso esterno; (z.d. 9)";VLE;TESTI FULVIO;219;1441;9;bibite e bevande analcoliche;34;;;58
alimentare;;"VLE TESTI FULVIO N. 70 ; isolato:153; (z.d. 9)";VLE;TESTI FULVIO;70;1441;9;bibite e bevande analcoliche;34;94;;124
alimentare;;"VLE TESTI FULVIO N. 78 ; isolato:149; accesso: accesso esterno; (z.d. 9)";VLE;TESTI FULVIO;78;1441;9;frutta, verdura e funghi;35;10;;45
alimentare;;"VLE TESTI FULVIO N. 78 ; isolato:149; (z.d. 9)";VLE;TESTI FULVIO;78;1441;9;macelleria;19;;;34
alimentare;;"VLE TESTI FULVIO N. 81 ; isolato:139; accesso: accesso esterno; (z.d. 9)";VLE;TESTI FULVIO;81;1441;9;bar;27;4;;27
alimentare;;"VLE TESTI FULVIO N. 86 ; isolato:149; accesso: accesso esterno; (z.d. 9)";VLE;TESTI FULVIO;86;1441;9;panificio (con forno);44;2;;46
alimentare;;"VLE TIBALDI N. 10 ; isolato:158; (z.d. 5)";VLE;TIBALDI;10;5234;5;macelleria islamica;20;;;20
alimentare;;"VLE TIBALDI N. 15 ; isolato:162; accesso: accesso esterno; (z.d. 5)";VLE;TIBALDI;15;5234;5;bibite e bevande analcoliche;25;;;45
alimentare;;VLE TIBALDI N. 8 (z.d. 5);VLE;TIBALDI;8;5234;5;alimenti confezionati e preconfezionati;19;24;;43
alimentare;;"VLE TORELLI LUIGI N. 5 ; isolato:095; (z.d. 9)";VLE;TORELLI LUIGI;5;1232;9;minimercati;16;24;;40
alimentare;;"VLE TUNISIA N. 25 angolo lazzaretto; (z.d. 3)";VLE;TUNISIA;25;2121;3;rivendita di generi alimentari sfusi e confezionati.;27;;;27
alimentare;;"VLE UMBRIA N. 11 ; isolato:178; accesso: accesso esterno; (z.d. 4)";VLE;UMBRIA;11;3145;4;erboristeria;26;;;26
alimentare;;"VLE UMBRIA N. 15 ; isolato:177; accesso: accesso esterno; (z.d. 4)";VLE;UMBRIA;15;3145;4;pasticceria;56;;;56
alimentare;;"VLE UMBRIA N. 25 ; isolato:177; accesso: accesso esterno; (z.d. 4)";VLE;UMBRIA;25;3145;4;panificio (con forno);23;23;;46
alimentare;;"VLE UMBRIA N. 29 ; isolato:177; accesso: accesso esterno; (z.d. 4)";VLE;UMBRIA;29;3145;4;frutta, verdura e funghi;20;18;;38
alimentare;;"VLE UMBRIA N. 3 ; isolato:178; (z.d. 4)";VLE;UMBRIA;3;3145;4;minimercati;45;231;;276
alimentare;;"VLE UMBRIA N. 50 ; isolato:121; accesso: accesso esterno; (z.d. 4)";VLE;UMBRIA;50;3145;4;bibite e bevande analcoliche;45;;;45
alimentare;;"VLE UMBRIA N. 60 interno merc. comun. coperto; isolato:101; accesso: accesso interno; (z.d. 4)";VLE;UMBRIA;60;3145;4;macelleria equine;15;;;15
alimentare;;"VLE UMBRIA N. 66 ; isolato:080; accesso: accesso esterno; (z.d. 4)";VLE;UMBRIA;66;3145;4;alimentari internazionali;40;40;;80
alimentare;;"VLE UMBRIA N. 79 interno merc. comun. coperto; accesso: accesso interno; (z.d. 4)";VLE;UMBRIA;79;3145;4;frutta, verdura e funghi;25;25;;50
alimentare;;"VLE UMBRIA N. 79 interno merc. comun. coperto; isolato:101; accesso: accesso interno; (z.d. 4)";VLE;UMBRIA;79;3145;4;macelleria;25;;;25
alimentare;;"VLE UMBRIA N. 79 int. mercato comunale coperto; accesso: accesso esterno; (z.d. 4)";VLE;UMBRIA;79;3145;4;alimentari internazionali;25;;;25
alimentare;;"VLE UMBRIA N. 79 int. mercato comunale coperto; (z.d. 4)";VLE;UMBRIA;79;3145;4;frutta, verdura e funghi;25;;;25
alimentare;;"VLE UMBRIA N. 83 ; isolato:076; accesso: accesso esterno; (z.d. 4)";VLE;UMBRIA;83;3145;4;bar;48;200;;248
alimentare;;"VLE UMBRIA N. 97 ; isolato:074; (z.d. 4)";VLE;UMBRIA;97;3145;4;frutta, verdura e funghi;120;;;120
alimentare;;"VLE UMBRIA N. 9 ; isolato:178; accesso: accesso esterno; (z.d. 4)";VLE;UMBRIA;9;3145;4;macelleria;18;5;;23
alimentare;;"VLE UNGHERIA N. 20 ; isolato:110; accesso: accesso esterno; (z.d. 4)";VLE;UNGHERIA;20;3357;4;panificio (con forno);38;70;;108
alimentare;;"VLE UNGHERIA N. 24 ; isolato:110; accesso: accesso esterno; (z.d. 4)";VLE;UNGHERIA;24;3357;4;pasticceria;50;29;;79
alimentare;;"VLE UNGHERIA N. 26 ; isolato:110; accesso: accesso esterno; (z.d. 4)";VLE;UNGHERIA;26;3357;4;vini - olii e liquori in recip;50;80;;130
alimentare;;VLE UNGHERIA N. 28 (z.d. 4);VLE;UNGHERIA;28;3357;4;alimentari confezionati;20;;;30
alimentare;;"VLE VIGLIANI PAOLO ONORATO N. 49 angolo via albani 49; (z.d. 8)";VLE;VIGLIANI PAOLO ONORATO;49;6422;8;rivendita pane - bibite - latte - prodotti caseari;30;;;51
alimentare;;"VLE VIGLIANI PAOLO ONORATO N. 49 ; isolato:170; accesso: accesso esterno; (z.d. 8)";VLE;VIGLIANI PAOLO ONORATO;49;6422;8;panetteria;35;17;;52
alimentare;;"VLE VITTORIO VENETO N. 10 ; isolato:136; accesso: accesso esterno; (z.d. 3)";VLE;VITTORIO VENETO;10;2107;3;minimercati;16;;;16
alimentare;;"VLE VITTORIO VENETO N. 22 ; isolato:134; accesso: accesso esterno; (z.d. 2)";VLE;VITTORIO VENETO;22;2107;2;pasticceria;30;30;;60
alimentare;;"VLE ZARA N. 118 ; isolato:086; accesso: accesso esterno; (z.d. 2)";VLE;ZARA;118;1170;2;vini - olii e liquori in recip;75;;;125
alimentare;;"VLE ZARA N. 132 ; isolato:033; accesso: accesso esterno; (z.d. 2)";VLE;ZARA;132;1170;2;latteria;30;5;;35
alimentare;;"VLE ZARA N. 145 ; isolato:028; accesso: accesso esterno; (z.d. 9)";VLE;ZARA;145;1170;9;bar;22;20;;42
alimentare;;"VLE ZARA N. 19 ; isolato:215; accesso: accesso esterno; (z.d. 9)";VLE;ZARA;19;1170;9;latteria;32;24;;56
alimentare;;"VLE ZARA N. 19 ; isolato:215; accesso: accesso esterno; (z.d. 9)";VLE;ZARA;19;1170;9;macelleria;32;;;32
alimentare;;VLE ZARA N. 1 (z.d. 9);VLE;ZARA;1;1170;9;gelateria;77;;;132
alimentare;;VLE ZARA N. 23 (z.d. 9);VLE;ZARA;23;1170;9;pane - pasticcini - bevande - latte - alimenti confezionati;40;85;;125
alimentare;;VLE ZARA N. 28 (z.d. 2);VLE;ZARA;28;1170;2;prodotti da enoteca e prodotti preconfezionati (pasta, formaggi, salumi).;120;;;150
alimentare;22012007;"VIA SAN MAURILIO N. 24 ;via san maurilio 024; isolato:431; (z.d. 1)";VIA;SAN MAURILIO;24;563;1;drogheria;36;4;;40
alimentare;acqua minerale/bibite;"VIA FESTA DEL PERDONO N. 8 entrata via bergamini;via festa del perdono 008; isolato:324; accesso: accesso esterno; (z.d. 1)";VIA;FESTA DEL PERDONO;8;327;1;bibite e bevande analcoliche;11;20;;32
alimentare;ai portici panificio past;"VIA RICCARDI PADRE PLACIDO N. 17 ; isolato:231; accesso: accesso esterno; (z.d. 2)";VIA;RICCARDI PADRE PLACIDO;17;2385;2;panificio (con forno);55;;;175
alimentare;alberi pasticceria snc.;"VIA LOMELLINA N. 34 ; isolato:246; accesso: accesso esterno; (z.d. 4)";VIA;LOMELLINA;34;3280;4;pasticceria - gelateria;112;;;112
alimentare;al cervele de milan;"VIA MARCO D'OGGIONO N. 1 ; isolato:217; accesso: accesso esterno; (z.d. 1)";VIA;MARCO D'OGGIONO;1;5166;1;macelleria;30;;;40
alimentare;al forno antico;"PZA SEI FEBBRAIO N. 16 ; isolato:087; accesso: accesso esterno; (z.d. 8)";PZA;SEI FEBBRAIO;16;6358;8;panificio (con forno);21;;;85
alimentare;alimentari;"VIA VILLORESI EUGENIO N. 2 ; isolato:060; accesso: accesso esterno; (z.d. 6)";VIA;VILLORESI EUGENIO;2;5145;6;minimercati;115;;;115
alimentare;alimentari casoretto;"VIA CASORETTO N. 45 ; isolato:006; accesso: accesso esterno; (z.d. 3)";VIA;CASORETTO;45;2420;3;minimercati;199;;;199
alimentare;alimentari e gelateria;"VIA PONALE N. 6 ; isolato:032; accesso: accesso esterno; (z.d. 9)";VIA;PONALE;6;1616;9;gelateria;70;;;70
alimentare;alimentari latteria;"VIA FRA' CRISTOFORO N. 1 ; isolato:080; accesso: accesso esterno; (z.d. 5)";VIA;FRA' CRISTOFORO;1;5413;5;latteria;38;40;;78
alimentare;alimentari/pizzer.asporto;"VIA PLINIO CAIO SECONDO N. 12 ; isolato:061; accesso: accesso esterno; (z.d. 3)";VIA;PLINIO CAIO SECONDO;12;2144;3;salumeria - rosticceria - cibi;49;;;126
alimentare;alimentari/pizzer.asporto;"VIA SAMMARTINI GIOVANNI BATTISTA N. 39 ; isolato:199; accesso: accesso esterno; (z.d. 2)";VIA;SAMMARTINI GIOVANNI BATTISTA;39;1202;2;salumeria - rosticceria - cibi;43;;;137
alimentare;alimentari/pizzer.asporto;"VLE CERTOSA N. 45 ; isolato:324; accesso: accesso esterno; (z.d. 8)";VLE;CERTOSA;45;7174;8;salumeria - rosticceria - cibi;39;74;;133
alimentare;alimentari/pizzer.asporto;"VLE MONZA N. 81 ; isolato:306; accesso: accesso esterno; (z.d. 2)";VLE;MONZA;81;2274;2;salumeria - rosticceria - cibi;33;76;;109
alimentare;alimentari spaccio int.;"VIA CASCINA BELCASULE N. 7 spaccio interno; isolato:162; accesso: accesso interno; (z.d. 5)";VIA;CASCINA BELCASULE;7;4238;5;spaccio aziendale alimentare;49;;;49
alimentare;aliment.bibite int.kebab;"VIA DEGLI IMBRIANI N. 6 ; isolato:081; accesso: accesso esterno; (z.d. 9)";VIA;DEGLI IMBRIANI;6;1266;9;bibite e bevande analcoliche;23;53;;76
alimentare;alimenti naturali erboris;"CSO GENOVA N. 25 ; isolato:132; accesso: accesso esterno; (z.d. 1)";CSO;GENOVA;25;5164;1;prodotti naturali e biologici;40;;;40
alimentare;alimenti tipici giappones;"VIA MONTECUCCOLI RAIMONDO N. 8 ; isolato:036; accesso: accesso esterno; (z.d. 6)";VIA;MONTECUCCOLI RAIMONDO;8;6650;6;alimentari internazionali;20;;;43
alimentare;aliment.sudamerican.confe;"PZA VENTIQUATTRO MAGGIO N. 1 interno merc. comun. coperto; isolato:052; accesso: accesso interno; (z.d. 5)";PZA;VENTIQUATTRO MAGGIO;1;5200;5;alimentari internazionali;9;;;9
alimentare;al posticino;"VIA AMADEO GIAN ANTONIO N. 32 ; isolato:199; accesso: accesso esterno; (z.d. 3)";VIA;AMADEO GIAN ANTONIO;32;3228;3;salumeria - rosticceria - cibi;31;11;;42
alimentare;altaquota;"VIA VARESINA N. 96 ; isolato:237; accesso: accesso esterno; (z.d. 8)";VIA;VARESINA;96;7290;8;bar;38;;;38
alimentare;al vecc prestinee;"CSO DI PORTA ROMANA N. 116 ; isolato:118; accesso: accesso esterno; (z.d. 1)";CSO;DI PORTA ROMANA;116;402;1;panetteria;30;30;;60
alimentare;al vecc prestinee;"VIA ORTI N. 7 ; isolato:116; accesso: accesso esterno; (z.d. 1)";VIA;ORTI;7;4031;1;panificio (con forno);72;18;;90
alimentare;amida cafe;"VIA CUSANI N. 10 ;via cusani 010; isolato:293; (z.d. 1)";VIA;CUSANI;10;719;1;drogheria;10;;;52
alimentare;amo pizza;"VIA MODENA GUSTAVO N. 29 ; isolato:163; accesso: accesso esterno; (z.d. 3)";VIA;MODENA GUSTAVO;29;3122;3;panineria - focacceria;35;;;35
alimentare;angela e gino snc.;"VIA LOSANNA N. 14 ; isolato:047; accesso: accesso esterno; (z.d. 8)";VIA;LOSANNA;14;7190;8;gelateria;25;;;25
alimentare;angolo della frutta;"VIA PLINIO CAIO SECONDO N. 16 ; isolato:065; accesso: accesso esterno; (z.d. 3)";VIA;PLINIO CAIO SECONDO;16;2144;3;frutta, verdura e funghi;17;8;;25
alimentare;antica bottega del caffe;"PZA DERGANO N. 3 ; isolato:057; accesso: accesso esterno; (z.d. 9)";PZA;DERGANO;3;1500;9;caffe crudo e torrefatto;43;;;43
alimentare;antica panetteria;"VLE SUZZANI GIOVANNI N. 17 ; isolato:130; accesso: accesso esterno; (z.d. 9)";VLE;SUZZANI GIOVANNI;17;1446;9;panetteria;21;26;;47
alimentare;antica torrefazione rio;"PZA INSUBRIA N. 11 ; isolato:127; accesso: accesso esterno; (z.d. 4)";PZA;INSUBRIA;11;3221;4;caffe crudo e torrefatto;47;;;47
